day,purchase,payment,necessary,cost
1,food,cash,1,5
1,food,cash,1,6
1,food,cash,1,3
1,food,cash,0,5
1,food,cash,1,8
1,food,cash,1,2
2,transport,card,1,5
2,food,card,1,6
2,food,card,1,3
2,food,card,0,5
2,food,card,1,8
3,leisure,card,0,15
3,leisure,card,0,20
3,leisure,card,0,12
3,transport,card,1,5
3,food,card,0,5
3,transport,card,1,8
4,food,cash,0,8
4,food,cash,1,5
4,food,cash,0,7
4,food,cash,1,5
4,transport,card,1,5
4,leisure,cash,0,18
4,alcohol,card,0,5
4,transport,card,1,8
5,transport,card,1,58
5,food,card,1,5
5,food,card,1,7
5,food,card,1,5
5,food,card,1,5
5,food,card,1,8
5,food,card,1,5
5,food,card,1,8
5,food,card,1,8
5,food,card,1,5
5,alcohol,card,0,8
6,food,cash,0,5
6,food,cash,1,5
6,food,cash,1,7
6,food,cash,1,5
6,leisure,cash,0,5
6,transport,card,1,5
6,personal,card,0,15
6,personal,cash,0,27
6,food,cash,0,5
6,transport,card,1,5
6,transport,card,1,8
6,food,cash,1,5
6,food,cash,0,7
6,food,cash,0,5
6,food,cash,1,5
6,food,cash,1,8
6,food,cash,0,5
6,food,cash,0,7
6,transport,card,1,8
6,transport,card,1,5
6,leisure,cash,0,37
6,alcohol,cash,0,25
6,personal,cash,0,5
6,personal,cash,0,5
6,personal,cash,0,5
7,transport,cash,0,25
