direction,type
outward,health
private,strangers
outward,strangers
outward,transport
private,transport
private,myself
private,work
private,strangers
outward,weather
outward,strangers
to_me,society
private,health
outward,transport
to_me,transport
to_me,family
private,work
to_me,family
outward,transport
private,friends
outward,work
outward,strangers
private,weather
private,work
to_me,friends
outward,weather
outward,transport
outward,friends
private,strangers
to_me,society
outward,family
private,transport
to_me,transport
private,friends
outward,society
outward,myself
outward,weather
outward,health
outward,family
outward,health
private,transport
private,transport
private,family
outward,friends
to_me,family
outward,friends
to_me,weather
outward,work
to_me,health
to_me,weather
private,health
private,weather
private,work
outward,family
outward,family
outward,health
outward,weather
to_me,weather
to_me,transport
to_me,work
outward,friends
to_me,weather
private,health
to_me,work
private,health
to_me,strangers
private,society
to_me,transport
outward,society
private,friends
to_me,health
outward,strangers
private,family
private,work
to_me,transport
outward,transport
outward,weather
to_me,work
outward,weather
to_me,society
to_me,transport
to_me,strangers
outward,myself
to_me,family
private,health
outward,weather
private,strangers
outward,strangers
outward,transport
outward,health
outward,myself
private,strangers
outward,family
private,health
to_me,transport
to_me,myself
outward,transport
private,health
to_me,transport
private,health
outward,society
to_me,society
outward,work
to_me,friends
to_me,myself
to_me,strangers
to_me,health
to_me,work
outward,health
private,society
to_me,transport
private,weather
to_me,myself
private,society
private,weather
outward,myself
private,transport
to_me,health
to_me,weather
outward,weather
private,transport
outward,society
to_me,family
private,myself
outward,weather
to_me,myself
outward,family
outward,family
private,myself
to_me,friends
private,friends
outward,friends
private,myself
to_me,work
private,family
outward,weather
outward,health
outward,myself
outward,weather
outward,strangers
to_me,health
private,friends
to_me,transport
outward,strangers
outward,strangers
outward,friends
outward,transport
outward,strangers
outward,friends
to_me,strangers
outward,society
